issue,description,recommendation
ram_type_missing_unknown,"Loại RAM có nhiều giá trị Unknown hơn dung lượng RAM, khoảng 326 dòng sau cleaning. Đây là nguồn thiếu thông tin đáng chú ý trong nhóm RAM.",Giữ Unknown như một category riêng; nếu có title/spec gốc thì có thể parse bổ sung để giảm missing.
ram_type_inconsistent_labels,"Loại RAM có nhiều biến thể và lỗi chính tả như DDR5x, DDR5X, LPDDR5x, LPDDR5X, DR4, DR5 hoặc giá trị số như 16, 32, 8.","Chuẩn hóa bằng mapping dictionary: uppercase, sửa typo, gom biến thể tương đương và đưa giá trị số/lỗi parse về Unknown hoặc Other."
ram_type_low_frequency_categories,"Một số loại RAM như LPDDR4, DDR5X, LPDDR3, DDR3, DDR3L hoặc Other có số lượng mẫu thấp, khiến median price của từng nhóm không ổn định.","Khi modeling, cân nhắc gom nhóm hiếm vào Other hoặc chỉ giữ các nhóm lớn như DDR4, DDR5, LPDDR5X, LPDDR5, LPDDR4X và Unknown."
cpu_ram_interaction,"Median price tăng theo RAM tier trong từng CPU brand, đặc biệt rõ ở Intel, AMD và Apple. Điều này cho thấy RAM và CPU không độc lập khi giải thích giá.","Trong EDA nên phân tích CPU Brand × RAM Tier; khi modeling, cân nhắc thêm interaction features hoặc dùng mô hình tree-based có thể tự học tương tác."
gpu_ram_interaction,"Median price tăng mạnh khi RAM cao kết hợp với GPU rời, đặc biệt ở các nhóm RTX hoặc Other GPU. Một số tổ hợp RAM × GPU có giá rất cao.","Giữ cả gpu_tier và ram_tier_clean; cân nhắc interaction gpu_tier × ram_tier_clean, đồng thời lọc các cell có quá ít quan sát khi diễn giải."
low_count_interaction_cells,"Một số tổ hợp CPU Brand × RAM Tier hoặc GPU Tier × RAM Tier có số lượng mẫu thấp, ví dụ Microsoft SQ, Qualcomm, AMD >32GB hoặc một số GPU rời với RAM cao.","Chỉ hiển thị/diễn giải các ô có số mẫu tối thiểu, ví dụ n >= 20; gom nhóm hiếm nếu cần dùng cho modeling."
storage_type_missing_unknown,Loại ổ cứng có 222 dòng thuộc nhóm Unknown sau cleaning. Đây là các dòng thiếu thông tin hoặc có giá trị bị parse nhầm như dung lượng nằm trong cột loại ổ cứng.,Giữ Unknown như một category riêng; nếu có title/spec gốc thì parse bổ sung để suy luận lại loại ổ cứng.
storage_type_inconsistent_labels,"Loại ổ cứng ban đầu có nhiều nhãn chưa chuẩn như SSd, SS, 256GB, 512GB hoặc eMMC. Một số giá trị là lỗi viết hoa/thường, một số là dung lượng bị parse nhầm vào cột loại ổ cứng.","Chuẩn hóa nhãn bằng mapping: SSd/SS → SSD, SSD + HDD/HDD + SSD → SSD + HDD, dung lượng như 256GB/512GB → Unknown."
storage_type_class_imbalance,"Loại ổ cứng bị lệch mạnh về SSD. Sau cleaning, SSD có 3.702 dòng, trong khi HDD có 402 dòng, SSD + HDD có 57 dòng và eMMC chỉ có 1 dòng.","Khi modeling, có thể giữ SSD, HDD, SSD + HDD và Unknown; cân nhắc gom eMMC vào Other/Unknown vì số lượng quá ít."
storage_capacity_missing_values,Dung lượng ổ cứng có 225 dòng missing sau cleaning. Đây là tỷ lệ không quá lớn nhưng vẫn cần xử lý trước khi phân tích giá hoặc modeling.,Không nên xóa dòng chỉ vì thiếu dung lượng ổ cứng; gán storage_tier_clean = 'Unknown' hoặc impute nếu mô hình yêu cầu giá trị số.
storage_capacity_fragmentation,"Dung lượng ổ cứng có nhiều giá trị chi tiết như 500GB, 1152GB, 1280GB, 1536GB, 6144GB. Một số có thể là cấu hình thật, một số có thể do parse hoặc cộng gộp nhiều ổ.","Gom dung lượng thành storage tiers như ≤256GB, 512GB, 1TB, 2TB, >2TB và Unknown để giảm phân mảnh."
storage_tier_price_confounding,"Giá tăng rõ theo storage tier, đặc biệt ở nhóm 2TB và >2TB. Tuy nhiên storage lớn thường đi kèm RAM cao, CPU/GPU mạnh và brand cao cấp.","Giữ storage_tier_clean là feature quan trọng, nhưng khi diễn giải tác động đến giá cần kiểm soát thêm RAM, CPU tier, GPU tier và brand."
storage_high_tier_low_count,Nhóm >2TB chỉ có 18 sản phẩm nhưng median price rất cao. Kết quả của nhóm này dễ bị ảnh hưởng bởi các cấu hình đặc biệt hoặc outlier hợp lệ.,"Diễn giải nhóm >2TB thận trọng; khi modeling có thể gom 2TB và >2TB nếu cần giảm sparsity, hoặc giữ riêng nếu dùng mô hình tree-based."
gpu_unknown_values,"GPU vẫn còn 207 dòng thuộc nhóm Unknown sau khi tạo gpu_tier_v2. Ngoài ra nhóm Other GPU còn khá lớn với 632 dòng, cho thấy GPU chưa được phân loại chi tiết hoàn toàn.",Audit các giá trị trong Unknown và Other GPU; mở rộng rule mapping nếu phát hiện model phổ biến chưa được nhận diện.
gpu_model_high_cardinality,"Tên GPU model raw có nhiều giá trị chi tiết như Intel Iris Xe, Intel UHD, RTX 3050, RTX 4050, RTX 4060, RTX 5090, Apple GPU, Other GPU. Dùng trực tiếp GPU model có thể tạo sparse features.",Ưu tiên dùng gpu_tier_v2 thay vì raw GPU model; chỉ giữ raw model để audit hoặc phân tích chuyên sâu.
gpu_tier_class_imbalance,"Phân phối GPU tier không đồng đều. Intel Integrated chiếm 1.721 dòng, trong khi Apple GPU có 116 dòng, RTX 5000 có 144 dòng và GTX có 148 dòng.","Khi so sánh giá theo GPU tier, cần chú ý số lượng mẫu; hạn chế kết luận mạnh với các nhóm nhỏ."
gpu_tier_price_effect,"Median price khác biệt rõ theo GPU tier. Apple GPU, RTX 5000, Other RTX và RTX 4000 có median cao hơn nhiều so với Intel Integrated, AMD Radeon hoặc Other GPU.",Giữ gpu_tier_v2 là feature quan trọng trong EDA/modeling; cân nhắc thêm interaction với RAM tier và CPU tier.
gpu_other_group_heterogeneity,"Nhóm Other GPU có số lượng lớn và có thể chứa nhiều loại GPU khác nhau, từ GPU tích hợp chưa phân loại đến GPU cao cấp hoặc Apple/AMD chưa map đúng.",Không diễn giải Other GPU như một nhóm đồng nhất; nên kiểm tra các model phổ biến bên trong nhóm này và cải thiện mapping nếu cần.
ram_storage_interaction,Median price tăng mạnh khi RAM tier và storage tier cùng tăng. Các tổ hợp như 32GB + 2TB hoặc >32GB + 2TB có median price rất cao.,Cân nhắc dùng interaction ram_tier_clean × storage_tier_clean hoặc mô hình tree-based để học quan hệ phi tuyến.
gpu_storage_interaction,Các cấu hình GPU mạnh thường đi kèm storage lớn và giá cao. Nếu chỉ xét storage hoặc GPU riêng lẻ có thể bỏ sót hiệu ứng tương tác.,Phân tích thêm GPU tier × storage tier; khi modeling nên giữ cả gpu_tier_v2 và storage_tier_clean.
high_end_valid_but_influential,"Nhóm high-end sau cleaning gồm nhiều máy cấu hình rất mạnh như Apple M4 MAX, Intel Core Ultra 9, RTX 4090/5090, RAM 64GB-128GB và storage 2TB/>2TB. Các giá cao phần lớn hợp lý nhưng có ảnh hưởng mạnh đến phân phối target.","Không loại bỏ mặc định các dòng high-end; khi modeling nên dùng log-transform cho price_median, robust metrics hoặc phân tích riêng phân khúc high-end."
low_count_interaction_cells,"Một số tổ hợp GPU × storage hoặc RAM × storage có số lượng mẫu thấp, đặc biệt ở nhóm >2TB, Apple GPU, RTX 5000 hoặc các cấu hình hiếm.","Chỉ hiển thị/diễn giải các ô có số mẫu tối thiểu, ví dụ n >= 20; gom nhóm hiếm nếu cần dùng cho mô hình tuyến tính."
target_right_skewed,"Biến mục tiêu price_median có phân phối lệch phải rõ rệt, với mean cao hơn median và skewness khoảng 2.65. Nhóm laptop high-end kéo đuôi phải của phân phối.",Ưu tiên dùng log_price_median làm target khi modeling; sau dự đoán chuyển ngược về giá gốc bằng expm1.
high_price_tail_influence,"Một số sản phẩm có price_median rất cao, tối đa khoảng 179.4 triệu VND. Phần lớn là cấu hình high-end hợp lệ nhưng có thể ảnh hưởng mạnh đến mô hình.","Không loại bỏ mặc định; dùng log-transform, robust metrics và kiểm tra lỗi riêng theo nhóm high-end."
numeric_missing_values,"Một số biến numeric vẫn còn missing, gồm storage_gb_clean 225 dòng, screen_size_clean 96 dòng và ram_gb_clean 23 dòng.","Dùng median imputation cho numeric features hoặc ưu tiên dùng các biến tier đã có nhóm Unknown như storage_tier_clean, screen_size_group và ram_tier_clean."
categorical_unknown_values,"Một số biến categorical có nhóm Unknown, cao nhất là ram_type_clean khoảng 7.44%, cpu_tier khoảng 6.93%, storage_tier_clean khoảng 5.13%, storage_type_clean khoảng 5.06%, gpu_tier_v2 khoảng 4.72% và brand_clean khoảng 4.11%.",Giữ Unknown như một category riêng thay vì drop dòng; tiếp tục cải thiện parsing nếu có title/spec gốc.
category_imbalance,"Các categorical features bị mất cân bằng. Ví dụ CPU chủ yếu là Intel, storage chủ yếu là SSD/512GB, GPU phổ biến nhất là Intel Integrated và screen size phổ biến nhất là 14-14.9 inch.","Khi đánh giá model, kiểm tra performance theo từng segment; tránh kết luận quá mạnh với các nhóm ít mẫu."
sparse_categories,"Một số nhóm hiếm như Microsoft SQ, Qualcomm, eMMC, >2TB storage, RTX 5000, Apple GPU hoặc các brand ít mẫu có thể tạo sparse one-hot features.",Gom nhóm hiếm vào Other nếu dùng mô hình tuyến tính; với tree-based models có thể giữ nhưng vẫn cần kiểm tra overfitting.
soft_duplicates_same_config,"Không có full-row duplicates, nhưng có nhiều dòng trùng cấu hình cơ bản theo spec_key. Các dòng này có thể là biến thể sản phẩm, khác shop, khác màu, khác model phụ hoặc listing gần giống nhau.","Không drop tự động; nếu modeling theo cấu hình thay vì listing, cân nhắc aggregate theo spec_key bằng median price."
price_quality_variation,"Sau cleaning, mỗi sản phẩm trung bình còn khoảng 2.99 giá sạch, nhưng vẫn có một số sản phẩm chỉ còn 2 giá hoặc có price_spread_clean_pct cao.",Giữ n_prices_clean và price_spread_clean_pct làm quality features hoặc dùng để audit; có thể kiểm tra model error cao ở nhóm spread lớn.
nonlinear_feature_effects,"Nhiều quan hệ với giá không tuyến tính, ví dụ RAM tier, storage tier, GPU tier và CPU tier có tác động theo cấp bậc và tương tác với nhau.","Ưu tiên mô hình tree-based như Random Forest, Gradient Boosting, XGBoost, LightGBM hoặc CatBoost; nếu dùng linear model thì cần one-hot và interaction features."
feature_confounding,"Các feature cấu hình có liên hệ chặt với nhau: RAM cao thường đi cùng CPU mạnh, GPU rời, storage lớn và brand cao cấp. Vì vậy feature importance không nên diễn giải như quan hệ nhân quả.","Diễn giải feature importance như mức đóng góp dự đoán, không phải tác động nhân quả; phân tích thêm permutation importance hoặc SHAP nếu cần."
baseline_model_not_final,"Baseline Random Forest đạt R² khoảng 0.746 trên log_price_median và MAE khoảng 5.51 triệu VND, nhưng đây chỉ là sanity check ban đầu.","Ở modeling chính thức cần dùng train/validation/test hoặc cross-validation, tuning hyperparameters, so sánh nhiều mô hình và kiểm tra residual."
evaluation_by_price_segment,"Dữ liệu có cả laptop phổ thông và high-end, nên MAE tổng thể có thể che giấu lỗi lớn ở từng phân khúc giá.","Đánh giá model theo price bands như low, mid, high và high-end; báo cáo MAE/MAPE/RMSE riêng cho từng segment."
