issue_key,severity,affected_column,issue_group,issue_description,proposed_action,need_note_lookup,final_action,resolution_status
model_high_cardinality,low,Dòng máy,brand_model_extraction_issues,"Cột Dòng máy có cardinality rất cao (458 unique), gây sparsity và khó encode trực tiếp","Tránh one-hot toàn bộ; sử dụng grouping, target encoding hoặc kết hợp với Hãng",no,Leave for modeling; document as modeling decision.,needs_manual_review
model_long_tail_distribution,medium,Dòng máy,brand_model_extraction_issues,Phân phối Dòng máy có long-tail mạnh; phần lớn model xuất hiện rất ít lần (đa số <10 listing),Group các model hiếm hoặc chỉ giữ top-N model để đảm bảo đủ dữ liệu học,yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
dong_khac_information_loss,low,Dòng máy,text_normalization_specs_parsing,"Khoảng 15% dữ liệu bị gom vào ""Dòng Khác"", làm mất thông tin chi tiết về series sản phẩm","Xử lý riêng ""Dòng Khác"" và cố gắng recover lại từ title nếu có thể",yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
dong_khac_recoverable_from_title,low,title,text_normalization_specs_parsing,"Một phần lớn ""Dòng Khác"" thực tế chứa thông tin series rõ ràng trong title (Latitude, ThinkPad, ...)",Dùng regex/keyword extraction để map lại Dòng máy từ title,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
model_brand_dependency,low,Hãng,brand_model_extraction_issues,"Dòng máy gần như gắn chặt với một Hãng (brand_count = 1), nên mang tính proxy chi tiết của brand",Sử dụng kết hợp Hãng + Dòng máy hoặc encoding tương đương thay vì dùng riêng lẻ,no,Leave for modeling; document as modeling decision.,needs_manual_review
model_strong_price_signal,low,price,price_related_issues,"Dòng máy thể hiện phân tầng giá rõ ràng theo product line (MacBook, Legion, Precision, ...)",Giữ feature này trong model; kết hợp với spec để tăng độ chính xác,no,Preserve as feature or helper signal in cleaned dataset.,resolved
model_price_stability,medium,price,price_related_issues,"Các dòng máy phổ biến có phân phối giá ổn định (IQR thấp), trong khi nhóm tổng hợp có biến động lớn","Ưu tiên giữ các dòng cụ thể; xử lý riêng nhóm có IQR cao (Dòng Khác, Rare)",yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
model_name_inconsistency,medium,Dòng máy,text_normalization_specs_parsing,"Tồn tại biến thể tên (viết hoa/thường, ký tự) gây phân mảnh category","Chuẩn hóa text (lowercase, remove special chars) trước khi encode",no,Documented; no deterministic cleaning required.,needs_manual_review
model_grouping_tradeoff,medium,Dòng máy,brand_model_extraction_issues,Grouping giúp giảm cardinality (458 → 101) nhưng tạo nhóm không đồng nhất (Rare/Other),Giữ grouping nhưng cân nhắc thêm flag hoặc feature bổ sung để giảm noise,yes,Preserve as feature or helper signal in cleaned dataset.,resolved
rare_group_heterogeneity,medium,,price_related_issues,"Nhóm Rare/Other có độ phân tán giá lớn, chứa nhiều loại sản phẩm khác nhau",Xem xét tách thêm theo brand hoặc price-based binning nếu cần,yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
model_vs_dong_khac_difference,medium,Dòng máy,price_related_issues,"“Rare/Other” và “Dòng Khác” có đặc điểm giá khác nhau rõ rệt (Rare cao hơn, Dòng Khác thấp hơn)",Không gộp chung hai nhóm này; xử lý như hai loại category khác nhau,yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
model_as_segment_indicator,low,Dòng máy,brand_model_extraction_issues,"Dòng máy phản ánh trực tiếp product segment (gaming, business, ultrabook)",Khai thác như feature phân khúc thay vì chỉ categorical thuần,no,Documented; no deterministic cleaning required.,needs_manual_review
condition_label_noise,low,Tình trạng,invalid_values,"Nhãn ""Tình trạng"" không hoàn toàn đáng tin cậy do dữ liệu user-generated; một số sản phẩm được gắn ""Mới"" nhưng thực tế là hàng đã qua sử dụng hoặc mang tính marketing",Không sửa trực tiếp ở bước inspection; giữ nguyên và xử lý bằng flag hoặc feature bổ sung ở bước preprocessing,no,Preserve as feature or helper signal in cleaned dataset.,resolved
new_low_price_inconsistency,medium,price,outliers,"Một tỷ lệ đáng kể sản phẩm ""Mới"" có giá thấp bất thường (≈13.7% <5M, ≈30% <10M), không phù hợp với mặt bằng thị trường",Tạo flag (new_low_price) để mô hình nhận diện; không loại bỏ toàn bộ để tránh mất thông tin,no,Leave for modeling; document as modeling decision.,needs_manual_review
title_condition_mismatch,medium,title,text_normalization_specs_parsing,"Title chứa keyword như ""đẹp 98%"", ""pin"", ""góp"",... nhưng vẫn được gắn nhãn ""Mới"", cho thấy sự lệch giữa structured data và text",Khai thác title để tạo feature (keyword-based flag) thay vì chỉ dựa vào cột Tình trạng,no,Documented; no deterministic cleaning required.,needs_manual_review
repair_condition_mismatch,medium,Tình trạng,text_normalization_specs_parsing,"Một số title có dấu hiệu lỗi/sửa chữa (""lỗi"", ""lỗi main"", ""vỡ"",...) nhưng Tình trạng không phải ""qua sửa chữa""",Tạo flag repair_mismatch để bổ sung thông tin cho model và giảm noise,no,Documented; no deterministic cleaning required.,needs_manual_review
condition_price_outliers,high,price,outliers,"Tồn tại outlier giá trong cả 3 nhóm Tình trạng (~4–11%), đặc biệt ở nhóm ""qua sửa chữa"" có biến động cao hơn",Không loại bỏ ngay; có thể giữ lại hoặc xử lý tùy theo model (tree vs linear),yes,Create explicit flags; do not drop uncertain rows.,partially_resolved
condition_imbalance,medium,Tình trạng,brand_model_extraction_issues,"Phân bố Tình trạng bị lệch mạnh (≈95% là ""đã sử dụng chưa sửa""), khiến signal từ các nhóm nhỏ bị hạn chế","Cân nhắc trong modeling (regularization, sampling hoặc feature engineering), không cần xử lý ở inspection",no,Leave for modeling; document as modeling decision.,needs_manual_review
condition_warranty_inconsistency,medium,Tình trạng,invalid_values,"Một số sản phẩm ""Mới"" nhưng lại ""Hết bảo hành"", không phù hợp với kỳ vọng thông thường",Tạo flag inconsistency giữa Tình trạng và bảo hành; không sửa trực tiếp dữ liệu gốc,no,Preserve as feature or helper signal in cleaned dataset.,resolved
cross_column_inconsistency,medium,,text_normalization_specs_parsing,"Tồn tại inconsistency giữa nhiều cột (Tình trạng, title, bảo hành), phản ánh bản chất noisy của dữ liệu marketplace",Ưu tiên feature engineering dựa trên cross-column signals thay vì cố làm sạch tuyệt đối,no,Documented; no deterministic cleaning required.,needs_manual_review
ordinal_encoding_assumption,low,,price_related_issues,"Việc encode Tình trạng theo ordinal giả định quan hệ tuyến tính giữa các mức, trong khi khoảng cách giá thực tế không đồng đều","Thử nghiệm nhiều phương pháp encoding (ordinal, one-hot, target encoding) và chọn theo performance",no,Leave for modeling; document as modeling decision.,needs_manual_review
semantic_signal_vs_structured,low,,text_normalization_specs_parsing,Thông tin quan trọng về tình trạng thực tế nằm trong title nhiều hơn structured column,Kết hợp NLP/regex extraction từ title để bổ sung signal cho model,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
warranty_mixed_semantics,low,Chính sách bảo hành,invalid_values,"Chính sách bảo hành trộn nhiều loại thông tin (thời gian, trạng thái, nguồn) nên khó học và khó diễn giải","Tách thành warranty_months, warranty_status, warranty_source trước khi encode",no,Documented; no deterministic cleaning required.,needs_manual_review
warranty_signal_moderate,medium,Chính sách bảo hành,price_related_issues,Có tương quan với giá (bảo hành dài hơn → giá cao hơn) nhưng không mạnh và không ổn định,"Dùng như feature phụ trợ, không dùng standalone",no,Documented; no deterministic cleaning required.,needs_manual_review
warranty_status_informative,low,Chính sách bảo hành,price_related_issues,Các giá trị như Còn bảo hành vs Hết bảo hành có sự khác biệt giá rõ ràng,Tạo feature đơn giản như has_warranty hoặc warranty_status,no,Documented; no deterministic cleaning required.,needs_manual_review
warranty_category_imbalance,medium,Chính sách bảo hành,brand_model_extraction_issues,"Phân phối rất lệch với Bảo hành hãng chiếm đa số, có thể gây bias",Cân nhắc gộp nhóm hoặc encode cẩn thận,yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
warranty_low_priority_feature,low,Chính sách bảo hành,brand_model_extraction_issues,"So với Dòng máy, RAM, CPU thì feature này có sức giải thích thấp hơn","Ưu tiên feature cấu hình, warranty chỉ bổ trợ",no,Documented; no deterministic cleaning required.,needs_manual_review
screen_size_signal_moderate,low,Kích cỡ màn hình,price_related_issues,Kích cỡ màn hình có tương quan với giá (size lớn hơn → giá cao hơn) nhưng signal chỉ ở mức trung bình và không tuyến tính,"Sử dụng như feature phụ trợ, kết hợp với cấu hình và dòng máy thay vì dùng standalone",no,Preserve as feature or helper signal in cleaned dataset.,resolved
screen_size_distribution_bimodal,low,Kích cỡ màn hình,inconsistent_categories,"Phân phối tập trung mạnh ở hai nhóm chính 13–14.9 inch và 15–16.9 inch, phản ánh 2 phân khúc chính của thị trường",Có thể giữ dạng bucket hoặc encode ordinal thay vì one-hot chi tiết,no,Preserve as feature or helper signal in cleaned dataset.,resolved
screen_size_long_tail_noise,low,Kích cỡ màn hình,brand_model_extraction_issues,"Các nhóm kích thước nhỏ (<10 inch, >19 inch) có rất ít dữ liệu và mang tính noise",Cân nhắc gộp các nhóm hiếm hoặc loại bỏ khỏi modeling nếu cần,yes,Leave for modeling; document as modeling decision.,needs_manual_review
screen_missing_not_random,high,Kích cỡ màn hình,missing_null_empty_values,"Missing màn hình có median giá thấp hơn (~6M vs ~8M), cho thấy missing mang tính informative (không ngẫu nhiên)",Tạo flag screen_missing thay vì impute đơn giản; tránh mất signal,yes,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
screen_recovery_low_coverage,high,Kích cỡ màn hình,missing_null_empty_values,"Chỉ ~4% missing có thể recover từ title, cho thấy việc extract bổ sung có hiệu quả thấp",Không cần đầu tư nhiều vào rule-based extraction; chỉ dùng như bước bổ sung nhẹ,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
screen_title_mismatch_low,medium,title,text_normalization_specs_parsing,"Mismatch giữa cột và title rất thấp (~9 dòng), cho thấy dữ liệu tương đối sạch",Không cần xử lý mạnh; có thể ưu tiên title nếu cần độ chính xác cao hơn,no,Documented; no deterministic cleaning required.,needs_manual_review
screen_brand_dependency,low,Hãng,brand_model_extraction_issues,Phân phối kích cỡ màn hình có sự phụ thuộc vào Hãng (mỗi hãng có dominant size riêng),Có thể dùng Hãng để hỗ trợ impute hoặc feature interaction,yes,Documented; no deterministic cleaning required.,needs_manual_review
screen_imputation_risk,high,Kích cỡ màn hình,missing_null_empty_values,Một số hãng có missing rate cao và dominant_pct không đủ mạnh → impute theo hãng có thể gây bias,Chỉ áp dụng impute cho hãng có dominant_pct cao; tránh hard rule cho toàn bộ dữ liệu,yes,Documented; no deterministic cleaning required.,needs_manual_review
screen_feature_interaction,low,Kích cỡ màn hình,brand_model_extraction_issues,"Kích cỡ màn hình không độc lập mà tương tác mạnh với Dòng máy và cấu hình (RAM, CPU)",Khai thác interaction thay vì dùng feature đơn lẻ,no,Documented; no deterministic cleaning required.,needs_manual_review
screen_as_segment_proxy,low,Kích cỡ màn hình,brand_model_extraction_issues,Kích cỡ màn hình phản ánh một phần phân khúc (ultrabook vs gaming/business) nhưng không đủ để phân biệt rõ,Kết hợp với Dòng máy để capture segment tốt hơn,no,Documented; no deterministic cleaning required.,needs_manual_review
cpu_tier_dominant_signal,low,Bộ vi xử lý,price_related_issues,"CPU tier là yếu tố chính quyết định giá, phân tách rõ các phân khúc (I3 < I5 < I7 < I9)",Sử dụng cpu_tier làm feature chính trong modeling,no,Leave for modeling; document as modeling decision.,needs_manual_review
cpu_gen_secondary_signal,low,Bộ vi xử lý,invalid_values,"CPU generation chỉ có ý nghĩa khi so sánh trong cùng một tier, không mạnh khi đứng riêng",Kết hợp cpu_tier và cpu_gen thay vì dùng riêng lẻ,no,Documented; no deterministic cleaning required.,needs_manual_review
cpu_missing_not_random,high,Bộ vi xử lý,missing_null_empty_values,"Missing CPU không ngẫu nhiên, thường xuất hiện ở các listing thiếu thông tin hoặc không chuẩn",Tạo flag cho missing và giữ lại dữ liệu để model học pattern,no,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
title_recovers_cpu_info,low,title,text_normalization_specs_parsing,"Thông tin CPU (đặc biệt model và generation) chủ yếu nằm trong title, không có trong structured column",Ưu tiên dùng feature từ title (_cpu_*_all) thay vì structured,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
cpu_interaction_with_ram,low,Bộ vi xử lý,invalid_values,CPU không hoạt động độc lập mà tương tác mạnh với RAM và các cấu hình khác,Tạo feature interaction giữa cpu_tier và ram,no,Preserve as feature or helper signal in cleaned dataset.,resolved
high_price_outliers_explainable,high,price,outliers,"Các outlier giá cao chủ yếu do cấu hình mạnh (RAM lớn, GPU rời) hoặc brand premium","Không loại bỏ outlier, thay vào đó bổ sung feature để giải thích",yes,Create explicit flags; do not drop uncertain rows.,partially_resolved
cpu_brand_imbalanced,medium,Hãng,brand_model_extraction_issues,"Dữ liệu bị lệch mạnh về Intel, AMD và Apple xuất hiện ít hơn",Cân nhắc grouping hoặc encoding phù hợp để tránh bias,no,Leave for modeling; document as modeling decision.,needs_manual_review
ram_dominant_common_levels,low,RAM,brand_model_extraction_issues,"RAM tập trung mạnh ở hai mức 8GB và 16GB, chiếm khoảng 82.22% tổng số listing","Giữ RAM làm feature quan trọng, nhưng cần lưu ý model sẽ học chủ yếu từ hai nhóm phổ biến này",yes,Preserve as feature or helper signal in cleaned dataset.,resolved
ram_positive_price_signal,low,price,price_related_issues,RAM có quan hệ dương rõ ràng với giá ở các mức phổ biến: 4GB < 8GB < 16GB < 32GB,Sử dụng _ram_gb làm feature giải thích giá trong modeling,no,Leave for modeling; document as modeling decision.,needs_manual_review
ram_non_linear_price_effect,low,price,price_related_issues,Tác động của RAM lên giá không tuyến tính; price uplift giảm dần khi RAM tăng cao hơn,Cân nhắc xử lý RAM như ordinal/categorical feature hoặc dùng model phi tuyến,no,Documented; no deterministic cleaning required.,needs_manual_review
ram_high_within_group_variance,low,RAM,price_related_issues,"Trong cùng một mức RAM, giá vẫn phân tán rộng, đặc biệt ở nhóm 16GB và 32GB","Không sử dụng RAM độc lập; cần kết hợp với CPU, GPU, storage, brand và dòng máy",no,Preserve as feature or helper signal in cleaned dataset.,resolved
ram_brand_interaction,low,Hãng,price_related_issues,Cùng một mức RAM nhưng median price khác nhau rõ rệt giữa các brand,"Giữ cả Hãng và RAM, đồng thời cân nhắc interaction giữa brand và RAM",no,Preserve as feature or helper signal in cleaned dataset.,resolved
ram_low_sample_levels_unstable,medium,RAM,price_related_issues,"Các mức RAM hiếm như 1GB, 48GB, 64GB và 128GB có số lượng mẫu rất nhỏ nên thống kê giá không ổn định",Không diễn giải mạnh các nhóm low-sample; gộp hoặc xử lý riêng trong cleaning,yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
ram_suspicious_parsing_values,high,RAM,outliers,Một số giá trị RAM bất thường như 1GB và 128GB có khả năng đến từ lỗi parsing hoặc dữ liệu nhiễu,"Kiểm tra lại bằng title, RAM gốc và storage; cân nhắc gán NaN/Unknown nếu không đủ tin cậy",no,Documented; no deterministic cleaning required.,needs_manual_review
ram_missing_values,high,RAM,missing_null_empty_values,"Cột RAM vẫn còn 239 dòng missing, trong khi đây là feature quan trọng cho modeling","Impute RAM theo nhóm như Hãng, Dòng máy hoặc thông tin trích xuất từ title thay vì điền mode toàn cục",yes,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
ram_log_price_consistency,low,price,price_related_issues,"Correlation RAM với raw price là 0.552 và với log price là 0.561, cho thấy RAM có signal ổn định nhưng chỉ ở mức trung bình","Có thể dùng log-transform cho target price, nhưng vẫn cần bổ sung nhiều feature khác để cải thiện dự đoán",no,Documented; no deterministic cleaning required.,needs_manual_review
gpu_high_missing_rate,high,Card màn hình,missing_null_empty_values,"Cột Card màn hình có tỷ lệ missing khá cao, với khoảng 1,421 listing thiếu thông tin GPU",Tạo missing indicator cho GPU và không impute bằng một giá trị chung cho toàn bộ dataset,yes,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
gpu_unclear_dominant_group,low,Card màn hình,text_normalization_specs_parsing,"Phần lớn dữ liệu sau mapping rơi vào nhóm Unclear, bao gồm Onboard, Khác và AMD, nên chưa đủ chi tiết để xác định hiệu năng GPU","Giữ gpu_tier như feature phụ, đồng thời cân nhắc extract thêm GPU model từ title",yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
gpu_dedicated_price_signal,high,price,missing_null_empty_values,"Nhóm Dedicated — Other/Entry có median price cao hơn rõ rệt so với Missing và Unclear, cho thấy GPU rời có signal giá riêng",Sử dụng gpu_tier trong modeling để phân biệt laptop có GPU rời với các nhóm còn lại,no,Leave for modeling; document as modeling decision.,needs_manual_review
gpu_missing_not_random,high,Card màn hình,missing_null_empty_values,"Missing GPU không phân bố ngẫu nhiên mà phụ thuộc theo brand; một số hãng như Apple, Toshiba hoặc Honor có tỷ lệ thiếu GPU rất cao",Xử lý missing GPU theo brand hoặc dòng máy thay vì áp dụng một rule chung,no,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
gpu_missing_can_hide_high_value_laptops,high,Card màn hình,missing_null_empty_values,Nhóm Missing vẫn có nhiều outlier giá cao và có thể chứa laptop cấu hình mạnh nhưng không khai báo GPU,Không xem Missing GPU là GPU yếu; giữ Missing như một category riêng hoặc thêm missing indicator,yes,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
gpu_ram_interaction,high,RAM,missing_null_empty_values,Nhóm Dedicated — Other/Entry có tỷ lệ RAM 16GB và 32GB cao hơn rõ rệt so với nhóm Missing và Unclear,Kết hợp gpu_tier với _ram_gb để phản ánh phân khúc cấu hình tổng thể,no,Documented; no deterministic cleaning required.,needs_manual_review
gpu_cpu_interaction,low,Bộ vi xử lý,inconsistent_categories,"Nhóm Dedicated — Other/Entry thường đi kèm CPU tier mạnh hơn, đặc biệt là I7, I9, Ryzen 7 và Ryzen 9",Kết hợp gpu_tier với cpu_tier vì GPU và CPU cùng phản ánh phân khúc hiệu năng,no,Documented; no deterministic cleaning required.,needs_manual_review
gpu_price_signal_after_ram_control,high,price,missing_null_empty_values,"Ở cùng một mức RAM, nhóm Dedicated — Other/Entry thường có median price cao hơn nhóm Unclear hoặc Missing, đặc biệt ở 8GB và 16GB",Cân nhắc interaction giữa gpu_tier và RAM trong mô hình,no,Leave for modeling; document as modeling decision.,needs_manual_review
gpu_price_signal_after_cpu_control,low,price,price_related_issues,"Ở cùng một CPU tier, nhóm Dedicated — Other/Entry thường có median price cao hơn, cho thấy GPU rời bổ sung signal giá ngoài CPU",Sử dụng gpu_tier cùng cpu_tier thay vì chỉ dựa vào CPU,no,Preserve as feature or helper signal in cleaned dataset.,resolved
gpu_recoverable_from_title,low,title,missing_null_empty_values,"Có khoảng 40 dòng thiếu Card màn hình nhưng title hoặc Dòng máy có tín hiệu GPU/gaming như RTX, VGA, TUF, Nitro, Victus hoặc Gaming G15",Tạo rule recover GPU từ title/dòng máy; với keyword rõ như RTX/GTX/VGA có thể gán potential dedicated GPU,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
gpu_tier_too_coarse,low,Card màn hình,text_normalization_specs_parsing,"Cột Card màn hình chỉ phân biệt ở mức rất thô như NVIDIA, AMD, Onboard, Khác nên không capture được sức mạnh GPU thực tế","Nếu có thể, extract GPU model từ title để tạo gpu_model hoặc gpu_performance_tier chi tiết hơn",no,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
gpu_amd_ambiguous,low,Card màn hình,price_related_issues,"Giá trị AMD hiện bị xếp vào Unclear vì không biết là iGPU hay discrete GPU, làm mất thông tin phân khúc",Không gộp AMD trực tiếp vào dedicated; cần kiểm tra title/model hoặc CPU để phân biệt Radeon iGPU và GPU rời,no,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
storage_ssd_dominant,low,Ổ cứng/Loại ổ cứng,inconsistent_categories,"Loại ổ cứng chủ yếu là SSD, trong khi HDD xuất hiện rất ít","Giữ Loại ổ cứng làm feature phân loại, nhưng cần lưu ý HDD là nhóm nhỏ và có thể kém ổn định",no,Preserve as feature or helper signal in cleaned dataset.,resolved
storage_capacity_common_levels,low,Ổ cứng/Loại ổ cứng,invalid_values,"Dung lượng ổ cứng tập trung mạnh ở các mức phổ biến, đặc biệt là 256GB và 512GB","Chuẩn hóa dung lượng về _storage_gb và ưu tiên giữ các mức phổ biến như 128GB, 256GB, 512GB và 1TB",no,Preserve as feature or helper signal in cleaned dataset.,resolved
storage_capacity_positive_price_signal,low,price,price_related_issues,"Giá có xu hướng tăng theo dung lượng ổ cứng, đặc biệt khi đi từ 256GB lên 512GB và 1TB","Sử dụng _storage_gb làm feature trong modeling, nhưng nên kết hợp với RAM, CPU, GPU và brand",no,Leave for modeling; document as modeling decision.,needs_manual_review
storage_type_price_signal,low,price,price_related_issues,"SSD có median price cao hơn và phân phối giá rộng hơn HDD, cho thấy loại ổ cứng có liên quan đến phân khúc máy",Giữ Loại ổ cứng như feature riêng thay vì chỉ dùng dung lượng,no,Preserve as feature or helper signal in cleaned dataset.,resolved
storage_non_linear_effect,medium,Ổ cứng/Loại ổ cứng,price_related_issues,"Tác động của dung lượng ổ cứng lên giá không tuyến tính; một số mức như 320GB, 500GB, 640GB hoặc 750GB có giá thấp hoặc không ổn định",Xử lý dung lượng như ordinal/categorical hoặc binning thay vì giả định quan hệ tuyến tính tuyệt đối,no,Documented; no deterministic cleaning required.,needs_manual_review
storage_legacy_capacity_levels,low,Ổ cứng/Loại ổ cứng,inconsistent_categories,"Các mức 250GB, 320GB, 500GB, 640GB và 750GB thường gợi ý HDD, máy đời cũ hoặc dữ liệu chưa chuẩn hóa",Cân nhắc gom các mức legacy này thành nhóm riêng hoặc kiểm tra cùng Loại ổ cứng,no,Documented; no deterministic cleaning required.,needs_manual_review
storage_missing_partial_inconsistency,high,Ổ cứng/Loại ổ cứng,missing_null_empty_values,Có 128 dòng có loại ổ cứng nhưng thiếu dung lượng và 384 dòng có dung lượng nhưng thiếu loại ổ cứng,"Xử lý Loại ổ cứng và Ổ cứng theo logic kết hợp, không xử lý missing độc lập từng cột",no,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
storage_both_missing_low_quality,high,Ổ cứng/Loại ổ cứng,missing_null_empty_values,"Có 342 dòng thiếu cả Loại ổ cứng và Dung lượng ổ cứng, đây là nhóm chất lượng thông tin storage thấp nhất",Tạo indicator storage_missing_all hoặc kiểm tra khả năng recover từ title trước khi impute,yes,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
storage_capacity_parse_stable,low,Ổ cứng/Loại ổ cứng,outliers,"Sau khi parse sang _storage_gb, không có giá trị bất thường dưới 32GB hoặc trên 4TB","Có thể tin cậy logic parse dung lượng hiện tại, nhưng vẫn cần kiểm tra các mức hiếm",yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
storage_capacity_rare_levels_unstable,medium,Ổ cứng/Loại ổ cứng,price_related_issues,"Một số mức dung lượng như 480GB, 640GB và 750GB có số lượng rất ít nên thống kê giá kém ổn định",Không diễn giải mạnh các mức dung lượng ít mẫu; cân nhắc gộp vào nhóm Other/Legacy,yes,Create grouped category columns with rare values mapped to Other; keep raw columns.,resolved
