Column,Issue (với số liệu),Proposed Action
model_long_tail_distribution,Phân phối Dòng máy có long-tail mạnh; phần lớn model xuất hiện rất ít lần (đa số <10 listing),Group các model hiếm hoặc chỉ giữ top-N model để đảm bảo đủ dữ liệu học
dong_khac_information_loss,"Khoảng 15% dữ liệu bị gom vào ""Dòng Khác"", làm mất thông tin chi tiết về series sản phẩm","Xử lý riêng ""Dòng Khác"" và cố gắng recover lại từ title nếu có thể"
dong_khac_recoverable_from_title,"Một phần lớn ""Dòng Khác"" thực tế chứa thông tin series rõ ràng trong title (Latitude, ThinkPad, ...)",Dùng regex/keyword extraction để map lại Dòng máy từ title
model_brand_dependency,"Dòng máy gần như gắn chặt với một Hãng (brand_count = 1), nên mang tính proxy chi tiết của brand",Sử dụng kết hợp Hãng + Dòng máy hoặc encoding tương đương thay vì dùng riêng lẻ
model_strong_price_signal,"Dòng máy thể hiện phân tầng giá rõ ràng theo product line (MacBook, Legion, Precision, ...)",Giữ feature này trong model; kết hợp với spec để tăng độ chính xác
model_price_stability,"Các dòng máy phổ biến có phân phối giá ổn định (IQR thấp), trong khi nhóm tổng hợp có biến động lớn","Ưu tiên giữ các dòng cụ thể; xử lý riêng nhóm có IQR cao (Dòng Khác, Rare)"
model_name_inconsistency,"Tồn tại biến thể tên (viết hoa/thường, ký tự) gây phân mảnh category","Chuẩn hóa text (lowercase, remove special chars) trước khi encode"
model_grouping_tradeoff,Grouping giúp giảm cardinality (458 → 101) nhưng tạo nhóm không đồng nhất (Rare/Other),Giữ grouping nhưng cân nhắc thêm flag hoặc feature bổ sung để giảm noise
rare_group_heterogeneity,"Nhóm Rare/Other có độ phân tán giá lớn, chứa nhiều loại sản phẩm khác nhau",Xem xét tách thêm theo brand hoặc price-based binning nếu cần
model_vs_dong_khac_difference,"“Rare/Other” và “Dòng Khác” có đặc điểm giá khác nhau rõ rệt (Rare cao hơn, Dòng Khác thấp hơn)",Không gộp chung hai nhóm này; xử lý như hai loại category khác nhau
model_as_segment_indicator,"Dòng máy phản ánh trực tiếp product segment (gaming, business, ultrabook)",Khai thác như feature phân khúc thay vì chỉ categorical thuần
condition_label_noise,"Nhãn ""Tình trạng"" không hoàn toàn đáng tin cậy do dữ liệu user-generated; một số sản phẩm được gắn ""Mới"" nhưng thực tế là hàng đã qua sử dụng hoặc mang tính marketing",Không sửa trực tiếp ở bước inspection; giữ nguyên và xử lý bằng flag hoặc feature bổ sung ở bước preprocessing
new_low_price_inconsistency,"Một tỷ lệ đáng kể sản phẩm ""Mới"" có giá thấp bất thường (≈13.7% <5M, ≈30% <10M), không phù hợp với mặt bằng thị trường",Tạo flag (new_low_price) để mô hình nhận diện; không loại bỏ toàn bộ để tránh mất thông tin
title_condition_mismatch,"Title chứa keyword như ""đẹp 98%"", ""pin"", ""góp"",... nhưng vẫn được gắn nhãn ""Mới"", cho thấy sự lệch giữa structured data và text",Khai thác title để tạo feature (keyword-based flag) thay vì chỉ dựa vào cột Tình trạng
repair_condition_mismatch,"Một số title có dấu hiệu lỗi/sửa chữa (""lỗi"", ""lỗi main"", ""vỡ"",...) nhưng Tình trạng không phải ""qua sửa chữa""",Tạo flag repair_mismatch để bổ sung thông tin cho model và giảm noise
condition_price_outliers,"Tồn tại outlier giá trong cả 3 nhóm Tình trạng (~4–11%), đặc biệt ở nhóm ""qua sửa chữa"" có biến động cao hơn",Không loại bỏ ngay; có thể giữ lại hoặc xử lý tùy theo model (tree vs linear)
condition_imbalance,"Phân bố Tình trạng bị lệch mạnh (≈95% là ""đã sử dụng chưa sửa""), khiến signal từ các nhóm nhỏ bị hạn chế","Cân nhắc trong modeling (regularization, sampling hoặc feature engineering), không cần xử lý ở inspection"
condition_warranty_inconsistency,"Một số sản phẩm ""Mới"" nhưng lại ""Hết bảo hành"", không phù hợp với kỳ vọng thông thường",Tạo flag inconsistency giữa Tình trạng và bảo hành; không sửa trực tiếp dữ liệu gốc
cross_column_inconsistency,"Tồn tại inconsistency giữa nhiều cột (Tình trạng, title, bảo hành), phản ánh bản chất noisy của dữ liệu marketplace",Ưu tiên feature engineering dựa trên cross-column signals thay vì cố làm sạch tuyệt đối
ordinal_encoding_assumption,"Việc encode Tình trạng theo ordinal giả định quan hệ tuyến tính giữa các mức, trong khi khoảng cách giá thực tế không đồng đều","Thử nghiệm nhiều phương pháp encoding (ordinal, one-hot, target encoding) và chọn theo performance"
semantic_signal_vs_structured,Thông tin quan trọng về tình trạng thực tế nằm trong title nhiều hơn structured column,Kết hợp NLP/regex extraction từ title để bổ sung signal cho model
warranty_mixed_semantics,"Chính sách bảo hành trộn nhiều loại thông tin (thời gian, trạng thái, nguồn) nên khó học và khó diễn giải","Tách thành warranty_months, warranty_status, warranty_source trước khi encode"
warranty_signal_moderate,Có tương quan với giá (bảo hành dài hơn → giá cao hơn) nhưng không mạnh và không ổn định,"Dùng như feature phụ trợ, không dùng standalone"
warranty_status_informative,Các giá trị như Còn bảo hành vs Hết bảo hành có sự khác biệt giá rõ ràng,Tạo feature đơn giản như has_warranty hoặc warranty_status
warranty_category_imbalance,"Phân phối rất lệch với Bảo hành hãng chiếm đa số, có thể gây bias",Cân nhắc gộp nhóm hoặc encode cẩn thận
warranty_low_priority_feature,"So với Dòng máy, RAM, CPU thì feature này có sức giải thích thấp hơn","Ưu tiên feature cấu hình, warranty chỉ bổ trợ"
screen_size_signal_moderate,Kích cỡ màn hình có tương quan với giá (size lớn hơn → giá cao hơn) nhưng signal chỉ ở mức trung bình và không tuyến tính,"Sử dụng như feature phụ trợ, kết hợp với cấu hình và dòng máy thay vì dùng standalone"
screen_size_distribution_bimodal,"Phân phối tập trung mạnh ở hai nhóm chính 13–14.9 inch và 15–16.9 inch, phản ánh 2 phân khúc chính của thị trường",Có thể giữ dạng bucket hoặc encode ordinal thay vì one-hot chi tiết
screen_size_long_tail_noise,"Các nhóm kích thước nhỏ (<10 inch, >19 inch) có rất ít dữ liệu và mang tính noise",Cân nhắc gộp các nhóm hiếm hoặc loại bỏ khỏi modeling nếu cần
screen_missing_not_random,"Missing màn hình có median giá thấp hơn (~6M vs ~8M), cho thấy missing mang tính informative (không ngẫu nhiên)",Tạo flag screen_missing thay vì impute đơn giản; tránh mất signal
screen_recovery_low_coverage,"Chỉ ~4% missing có thể recover từ title, cho thấy việc extract bổ sung có hiệu quả thấp",Không cần đầu tư nhiều vào rule-based extraction; chỉ dùng như bước bổ sung nhẹ
screen_title_mismatch_low,"Mismatch giữa cột và title rất thấp (~9 dòng), cho thấy dữ liệu tương đối sạch",Không cần xử lý mạnh; có thể ưu tiên title nếu cần độ chính xác cao hơn
screen_brand_dependency,Phân phối kích cỡ màn hình có sự phụ thuộc vào Hãng (mỗi hãng có dominant size riêng),Có thể dùng Hãng để hỗ trợ impute hoặc feature interaction
screen_imputation_risk,Một số hãng có missing rate cao và dominant_pct không đủ mạnh → impute theo hãng có thể gây bias,Chỉ áp dụng impute cho hãng có dominant_pct cao; tránh hard rule cho toàn bộ dữ liệu
screen_feature_interaction,"Kích cỡ màn hình không độc lập mà tương tác mạnh với Dòng máy và cấu hình (RAM, CPU)",Khai thác interaction thay vì dùng feature đơn lẻ
screen_as_segment_proxy,Kích cỡ màn hình phản ánh một phần phân khúc (ultrabook vs gaming/business) nhưng không đủ để phân biệt rõ,Kết hợp với Dòng máy để capture segment tốt hơn
cpu_tier_dominant_signal,"CPU tier là yếu tố chính quyết định giá, phân tách rõ các phân khúc (I3 < I5 < I7 < I9)",Sử dụng cpu_tier làm feature chính trong modeling
cpu_gen_secondary_signal,"CPU generation chỉ có ý nghĩa khi so sánh trong cùng một tier, không mạnh khi đứng riêng",Kết hợp cpu_tier và cpu_gen thay vì dùng riêng lẻ
cpu_missing_not_random,"Missing CPU không ngẫu nhiên, thường xuất hiện ở các listing thiếu thông tin hoặc không chuẩn",Tạo flag cho missing và giữ lại dữ liệu để model học pattern
title_recovers_cpu_info,"Thông tin CPU (đặc biệt model và generation) chủ yếu nằm trong title, không có trong structured column",Ưu tiên dùng feature từ title (_cpu_*_all) thay vì structured
cpu_interaction_with_ram,CPU không hoạt động độc lập mà tương tác mạnh với RAM và các cấu hình khác,Tạo feature interaction giữa cpu_tier và ram
high_price_outliers_explainable,"Các outlier giá cao chủ yếu do cấu hình mạnh (RAM lớn, GPU rời) hoặc brand premium","Không loại bỏ outlier, thay vào đó bổ sung feature để giải thích"
cpu_brand_imbalanced,"Dữ liệu bị lệch mạnh về Intel, AMD và Apple xuất hiện ít hơn",Cân nhắc grouping hoặc encoding phù hợp để tránh bias
ram_dominant_common_levels,"RAM tập trung mạnh ở hai mức 8GB và 16GB, chiếm khoảng 82.22% tổng số listing","Giữ RAM làm feature quan trọng, nhưng cần lưu ý model sẽ học chủ yếu từ hai nhóm phổ biến này"
ram_positive_price_signal,RAM có quan hệ dương rõ ràng với giá ở các mức phổ biến: 4GB < 8GB < 16GB < 32GB,Sử dụng _ram_gb làm feature giải thích giá trong modeling
ram_non_linear_price_effect,Tác động của RAM lên giá không tuyến tính; price uplift giảm dần khi RAM tăng cao hơn,Cân nhắc xử lý RAM như ordinal/categorical feature hoặc dùng model phi tuyến
ram_high_within_group_variance,"Trong cùng một mức RAM, giá vẫn phân tán rộng, đặc biệt ở nhóm 16GB và 32GB","Không sử dụng RAM độc lập; cần kết hợp với CPU, GPU, storage, brand và dòng máy"
ram_brand_interaction,Cùng một mức RAM nhưng median price khác nhau rõ rệt giữa các brand,"Giữ cả Hãng và RAM, đồng thời cân nhắc interaction giữa brand và RAM"
ram_low_sample_levels_unstable,"Các mức RAM hiếm như 1GB, 48GB, 64GB và 128GB có số lượng mẫu rất nhỏ nên thống kê giá không ổn định",Không diễn giải mạnh các nhóm low-sample; gộp hoặc xử lý riêng trong cleaning
ram_suspicious_parsing_values,Một số giá trị RAM bất thường như 1GB và 128GB có khả năng đến từ lỗi parsing hoặc dữ liệu nhiễu,"Kiểm tra lại bằng title, RAM gốc và storage; cân nhắc gán NaN/Unknown nếu không đủ tin cậy"
ram_missing_values,"Cột RAM vẫn còn 239 dòng missing, trong khi đây là feature quan trọng cho modeling","Impute RAM theo nhóm như Hãng, Dòng máy hoặc thông tin trích xuất từ title thay vì điền mode toàn cục"
ram_log_price_consistency,"Correlation RAM với raw price là 0.552 và với log price là 0.561, cho thấy RAM có signal ổn định nhưng chỉ ở mức trung bình","Có thể dùng log-transform cho target price, nhưng vẫn cần bổ sung nhiều feature khác để cải thiện dự đoán"
gpu_high_missing_rate,"Cột Card màn hình có tỷ lệ missing khá cao, với khoảng 1,421 listing thiếu thông tin GPU",Tạo missing indicator cho GPU và không impute bằng một giá trị chung cho toàn bộ dataset
gpu_unclear_dominant_group,"Phần lớn dữ liệu sau mapping rơi vào nhóm Unclear, bao gồm Onboard, Khác và AMD, nên chưa đủ chi tiết để xác định hiệu năng GPU","Giữ gpu_tier như feature phụ, đồng thời cân nhắc extract thêm GPU model từ title"
gpu_dedicated_price_signal,"Nhóm Dedicated — Other/Entry có median price cao hơn rõ rệt so với Missing và Unclear, cho thấy GPU rời có signal giá riêng",Sử dụng gpu_tier trong modeling để phân biệt laptop có GPU rời với các nhóm còn lại
gpu_missing_not_random,"Missing GPU không phân bố ngẫu nhiên mà phụ thuộc theo brand; một số hãng như Apple, Toshiba hoặc Honor có tỷ lệ thiếu GPU rất cao",Xử lý missing GPU theo brand hoặc dòng máy thay vì áp dụng một rule chung
gpu_missing_can_hide_high_value_laptops,Nhóm Missing vẫn có nhiều outlier giá cao và có thể chứa laptop cấu hình mạnh nhưng không khai báo GPU,Không xem Missing GPU là GPU yếu; giữ Missing như một category riêng hoặc thêm missing indicator
gpu_ram_interaction,Nhóm Dedicated — Other/Entry có tỷ lệ RAM 16GB và 32GB cao hơn rõ rệt so với nhóm Missing và Unclear,Kết hợp gpu_tier với _ram_gb để phản ánh phân khúc cấu hình tổng thể
gpu_cpu_interaction,"Nhóm Dedicated — Other/Entry thường đi kèm CPU tier mạnh hơn, đặc biệt là I7, I9, Ryzen 7 và Ryzen 9",Kết hợp gpu_tier với cpu_tier vì GPU và CPU cùng phản ánh phân khúc hiệu năng
gpu_price_signal_after_ram_control,"Ở cùng một mức RAM, nhóm Dedicated — Other/Entry thường có median price cao hơn nhóm Unclear hoặc Missing, đặc biệt ở 8GB và 16GB",Cân nhắc interaction giữa gpu_tier và RAM trong mô hình
gpu_price_signal_after_cpu_control,"Ở cùng một CPU tier, nhóm Dedicated — Other/Entry thường có median price cao hơn, cho thấy GPU rời bổ sung signal giá ngoài CPU",Sử dụng gpu_tier cùng cpu_tier thay vì chỉ dựa vào CPU
gpu_recoverable_from_title,"Có khoảng 40 dòng thiếu Card màn hình nhưng title hoặc Dòng máy có tín hiệu GPU/gaming như RTX, VGA, TUF, Nitro, Victus hoặc Gaming G15",Tạo rule recover GPU từ title/dòng máy; với keyword rõ như RTX/GTX/VGA có thể gán potential dedicated GPU
gpu_tier_too_coarse,"Cột Card màn hình chỉ phân biệt ở mức rất thô như NVIDIA, AMD, Onboard, Khác nên không capture được sức mạnh GPU thực tế","Nếu có thể, extract GPU model từ title để tạo gpu_model hoặc gpu_performance_tier chi tiết hơn"
gpu_amd_ambiguous,"Giá trị AMD hiện bị xếp vào Unclear vì không biết là iGPU hay discrete GPU, làm mất thông tin phân khúc",Không gộp AMD trực tiếp vào dedicated; cần kiểm tra title/model hoặc CPU để phân biệt Radeon iGPU và GPU rời
storage_ssd_dominant,"Loại ổ cứng chủ yếu là SSD, trong khi HDD xuất hiện rất ít","Giữ Loại ổ cứng làm feature phân loại, nhưng cần lưu ý HDD là nhóm nhỏ và có thể kém ổn định"
storage_capacity_common_levels,"Dung lượng ổ cứng tập trung mạnh ở các mức phổ biến, đặc biệt là 256GB và 512GB","Chuẩn hóa dung lượng về _storage_gb và ưu tiên giữ các mức phổ biến như 128GB, 256GB, 512GB và 1TB"
storage_capacity_positive_price_signal,"Giá có xu hướng tăng theo dung lượng ổ cứng, đặc biệt khi đi từ 256GB lên 512GB và 1TB","Sử dụng _storage_gb làm feature trong modeling, nhưng nên kết hợp với RAM, CPU, GPU và brand"
storage_type_price_signal,"SSD có median price cao hơn và phân phối giá rộng hơn HDD, cho thấy loại ổ cứng có liên quan đến phân khúc máy",Giữ Loại ổ cứng như feature riêng thay vì chỉ dùng dung lượng
storage_non_linear_effect,"Tác động của dung lượng ổ cứng lên giá không tuyến tính; một số mức như 320GB, 500GB, 640GB hoặc 750GB có giá thấp hoặc không ổn định",Xử lý dung lượng như ordinal/categorical hoặc binning thay vì giả định quan hệ tuyến tính tuyệt đối
storage_legacy_capacity_levels,"Các mức 250GB, 320GB, 500GB, 640GB và 750GB thường gợi ý HDD, máy đời cũ hoặc dữ liệu chưa chuẩn hóa",Cân nhắc gom các mức legacy này thành nhóm riêng hoặc kiểm tra cùng Loại ổ cứng
storage_missing_partial_inconsistency,Có 128 dòng có loại ổ cứng nhưng thiếu dung lượng và 384 dòng có dung lượng nhưng thiếu loại ổ cứng,"Xử lý Loại ổ cứng và Ổ cứng theo logic kết hợp, không xử lý missing độc lập từng cột"
storage_both_missing_low_quality,"Có 342 dòng thiếu cả Loại ổ cứng và Dung lượng ổ cứng, đây là nhóm chất lượng thông tin storage thấp nhất",Tạo indicator storage_missing_all hoặc kiểm tra khả năng recover từ title trước khi impute
storage_capacity_parse_stable,"Sau khi parse sang _storage_gb, không có giá trị bất thường dưới 32GB hoặc trên 4TB","Có thể tin cậy logic parse dung lượng hiện tại, nhưng vẫn cần kiểm tra các mức hiếm"
storage_capacity_rare_levels_unstable,"Một số mức dung lượng như 480GB, 640GB và 750GB có số lượng rất ít nên thống kê giá kém ổn định",Không diễn giải mạnh các mức dung lượng ít mẫu; cân nhắc gộp vào nhóm Other/Legacy
storage_type_missing_recoverable,"Nhiều dòng có dung lượng nhưng thiếu loại ổ cứng, đặc biệt ở các mức phổ biến như 256GB hoặc 512GB","Cân nhắc suy luận Loại ổ cứng từ title hoặc từ dung lượng phổ biến, nhưng nên giữ flag was_storage_type_imputed"
storage_title_recovery_potential,"Thông tin storage có thể xuất hiện trong title dưới dạng 256GB, 512GB, 1TB hoặc pattern RAM/Storage như 16GB/512GB",Extract storage từ title để bổ sung cho các dòng thiếu Ổ cứng hoặc Loại ổ cứng
storage_not_standalone_signal,Storage có signal giá nhưng không đủ để giải thích giá độc lập vì dung lượng cao thường đi kèm cấu hình tổng thể cao hơn,"Kết hợp _storage_gb với RAM, CPU, GPU, brand và Dòng máy trong modeling"
usage_info_constant_feature,"Cột Thông tin sử dụng chỉ có một giá trị duy nhất là ""In trên bao bì"" cho toàn bộ dataset",Loại bỏ cột này khỏi tập feature vì không có khả năng phân biệt giữa các listing
usage_info_no_predictive_signal,"Do không có variation giữa các dòng, cột Thông tin sử dụng không mang signal dự đoán giá",Không đưa cột này vào modeling để tránh tạo constant feature
usage_info_no_extractable_usage_duration,Không tìm thấy pattern về số năm hoặc số tháng sử dụng trong cột này,Không cần xây dựng feature usage_years hoặc usage_months từ cột Thông tin sử dụng
usage_info_misleading_column_name,"Tên cột gợi ý thông tin về thời gian sử dụng, nhưng nội dung thực tế không phản ánh thời gian sử dụng laptop",Ghi chú trong data documentation để tránh hiểu sai ý nghĩa cột
usage_info_safe_to_drop,"Cột Thông tin sử dụng không đóng góp cho EDA, cleaning hoặc modeling trong dataset hiện tại",Drop cột này ở bước cleaning pipeline
